task_id,subset,num_matrices,num_dividers,has_type1,has_type2,has_type3,has_any
00576224,Training,6,0,False,False,False,False
007bbfb7,Training,12,18,True,False,True,True
009d5c81,Training,12,2,False,False,True,True
00d62c1b,Training,12,4,False,False,True,True
00dbd492,Training,10,3,False,False,True,True
017c7c7b,Training,8,19,True,False,True,True
025d127b,Training,6,0,False,False,False,False
03560426,Training,8,0,False,False,False,False
045e512c,Training,8,2,False,True,True,True
0520fde7,Training,8,13,True,False,True,True
05269061,Training,8,9,False,False,True,True
05a7bcf2,Training,8,20,True,False,True,True
05f2a901,Training,8,0,False,False,False,False
0607ce86,Training,8,1,False,False,True,True
0692e18c,Training,8,12,True,False,True,True
06df4c85,Training,8,120,True,False,True,True
070dd51e,Training,6,0,False,False,False,False
08ed6ac7,Training,6,2,True,False,False,True
09629e4f,Training,10,57,True,False,True,True
0962bcdd,Training,6,0,False,False,False,False
09c534e7,Training,8,2,False,False,True,True
0a1d4ef5,Training,8,5,False,False,True,True
0a2355a6,Training,10,4,False,False,True,True
0a938d79,Training,10,36,True,True,False,True
0b148d64,Training,8,23,True,False,True,True
0b17323b,Training,6,0,False,False,False,False
0bb8deee,Training,8,29,True,False,True,True
0becf7df,Training,8,0,False,False,False,False
0c786b71,Training,8,3,True,False,False,True
0c9aba6e,Training,10,28,True,False,True,True
0ca9ddb6,Training,8,2,False,True,False,True
0d3d703e,Training,10,30,True,False,False,True
0d87d2a6,Training,8,12,True,False,True,True
0e206a2e,Training,8,2,False,True,False,True
0e671a1a,Training,10,0,False,False,False,False
0f63c0b9,Training,10,44,True,False,True,True
103eff5b,Training,6,0,False,False,False,False
10fcaaa3,Training,10,6,True,False,True,True
11852cab,Training,8,0,False,False,False,False
1190bc91,Training,8,2,True,True,False,True
1190e5a7,Training,8,52,True,False,False,True
11dc524f,Training,8,148,True,False,False,True
11e1fe23,Training,6,12,False,True,False,True
12422b43,Training,12,1,False,False,True,True
12997ef3,Training,12,37,True,True,True,True
12eac192,Training,10,13,True,False,True,True
13713586,Training,8,8,True,False,False,True
137eaa0f,Training,8,1,True,False,False,True
137f0df0,Training,8,5,True,False,True,True
13f06aa5,Training,8,66,True,False,False,True
140c817e,Training,8,68,True,False,False,True
14754a24,Training,10,21,False,False,True,True
1478ab18,Training,8,54,True,False,False,True
14b8e18c,Training,8,39,True,False,False,True
150deff5,Training,8,0,False,False,False,False
15113be4,Training,8,84,True,False,True,True
15660dd6,Training,6,45,True,False,True,True
15663ba9,Training,8,0,False,False,False,False
15696249,Training,10,10,True,False,False,True
17829a00,Training,6,48,True,False,False,True
178fcbfb,Training,8,13,True,True,False,True
17b80ad2,Training,10,6,False,True,False,True
17b866bd,Training,8,16,True,False,True,True
17cae0c1,Training,10,57,True,False,True,True
18286ef8,Training,8,2,False,True,False,True
182e5d0f,Training,8,76,True,False,True,True
18419cfa,Training,8,0,False,False,False,False
18447a8d,Training,8,72,True,False,False,True
184a9768,Training,8,2,False,True,True,True
195ba7dc,Training,10,34,True,False,True,True
1990f7a8,Training,8,16,False,False,True,True
19bb5feb,Training,8,0,False,False,False,False
1a07d186,Training,8,27,True,True,True,True
1a244afd,Training,8,112,True,False,False,True
1a2e2828,Training,12,20,True,False,True,True
1a6449f1,Training,8,3,False,True,True,True
1acc24af,Training,10,10,False,False,True,True
1b2d62fb,Training,12,21,True,False,True,True
1b59e163,Training,6,90,True,False,False,True
1b60fb0c,Training,8,6,False,False,True,True
1b8318e3,Training,8,3,False,True,False,True
1be83260,Training,8,12,True,False,False,True
1bfc4729,Training,6,18,True,False,True,True
1c02dbbe,Training,8,0,False,False,False,False
1c0d0a4b,Training,8,0,False,False,False,False
1c56ad9f,Training,10,0,False,False,False,False
1c786137,Training,8,15,False,False,True,True
1caeab9d,Training,8,0,False,False,False,False
1cf80156,Training,8,8,True,False,True,True
1d0a4b61,Training,8,93,True,False,True,True
1d398264,Training,10,13,False,False,True,True
1d61978c,Training,6,56,True,False,False,True
1da012fc,Training,6,0,False,False,False,False
1e0a9b12,Training,8,1,False,True,False,True
1e32b0e9,Training,8,40,True,False,True,True
1e5d6875,Training,6,26,True,False,False,True
1e81d6f9,Training,8,16,False,True,True,True
1efba499,Training,8,12,True,False,True,True
1f0c79e5,Training,10,3,False,False,True,True
1f642eb9,Training,8,10,False,True,False,True
1f85a75f,Training,6,9,True,False,True,True
1f876c06,Training,8,19,False,True,True,True
1fad071e,Training,8,13,True,False,False,True
2013d3e2,Training,6,0,False,False,False,False
2037f2c7,Training,8,11,True,False,True,True
2072aba6,Training,8,14,True,False,True,True
20818e16,Training,8,51,True,False,False,True
20981f0e,Training,8,0,False,False,False,False
20fb2937,Training,6,41,True,False,True,True
212895b5,Training,8,1,False,False,True,True
21f83797,Training,6,15,True,False,True,True
2204b7a8,Training,8,16,True,False,False,True
22168020,Training,8,3,False,False,True,True
22208ba4,Training,10,189,True,False,False,True
22233c11,Training,8,0,False,False,False,False
22425bda,Training,10,36,True,True,True,True
22806e14,Training,8,55,True,False,False,True
2281f1f4,Training,8,18,False,True,False,True
228f6490,Training,8,11,False,False,True,True
22a4bbc2,Training,10,68,True,False,True,True
22eb0ac0,Training,8,41,True,True,False,True
230f2e48,Training,8,69,True,False,True,True
234bbc79,Training,10,12,True,False,True,True
23581191,Training,6,6,False,False,True,True
239be575,Training,16,15,True,False,True,True
23b5c85d,Training,12,33,True,False,False,True
25094a63,Training,6,0,False,False,False,False
252143c9,Training,6,37,True,False,True,True
253bf280,Training,18,10,False,True,False,True
2546ccf6,Training,6,44,True,False,True,True
256b0a75,Training,8,8,False,True,True,True
25c199f5,Training,14,79,True,False,False,True
25d487eb,Training,8,0,False,False,False,False
25d8a9c8,Training,10,14,True,False,False,True
25e02866,Training,6,40,True,False,False,True
25ff71a9,Training,12,5,True,False,True,True
2601afb7,Training,8,54,True,False,False,True
264363fd,Training,8,86,True,False,False,True
2685904e,Training,14,28,True,True,False,True
2697da3f,Training,10,5,False,False,True,True
272f95fa,Training,6,30,True,False,True,True
2753e76c,Training,8,4,True,False,False,True
278e5215,Training,8,5,True,False,True,True
27a28665,Training,20,34,True,False,True,True
27a77e38,Training,8,8,True,False,False,True
27f8ce4f,Training,10,4,True,False,True,True
281123b4,Training,14,50,True,False,True,True
28bf18c6,Training,8,11,True,False,True,True
28e73c20,Training,12,18,True,False,False,True
292dd178,Training,8,43,True,False,False,True
29623171,Training,8,46,True,False,True,True
29700607,Training,8,19,True,True,True,True
29c11459,Training,6,10,False,True,False,True
2a28add5,Training,6,26,True,False,True,True
2a5f8217,Training,8,10,False,False,True,True
2b01abd0,Training,8,8,True,False,False,True
2b9ef948,Training,10,11,True,True,False,True
2bcee788,Training,10,62,True,False,False,True
2bee17df,Training,8,24,True,False,True,True
2c0b0aff,Training,10,2,True,False,False,True
2c608aff,Training,10,116,True,False,False,True
2c737e39,Training,8,0,False,False,False,False
2ccd9fef,Training,8,16,True,False,False,True
2dc579da,Training,8,30,True,False,False,True
2dd70a9a,Training,8,5,False,False,True,True
2de01db2,Training,8,2,True,False,True,True
2dee498d,Training,8,26,True,False,True,True
2e65ae53,Training,6,0,False,False,False,False
2f0c5170,Training,8,64,True,False,True,True
2f767503,Training,8,25,True,False,False,True
2faf500b,Training,8,0,False,False,False,False
305b1341,Training,8,18,False,True,False,True
30f42897,Training,8,56,True,False,False,True
310f3251,Training,12,0,False,False,False,False
3194b014,Training,8,30,True,False,True,True
319f2597,Training,8,4,False,False,True,True
31aa019c,Training,8,1,False,True,False,True
31adaf00,Training,8,16,False,False,True,True
31d5ba1a,Training,14,23,True,False,True,True
320afe60,Training,10,203,True,False,False,True
321b1fc6,Training,6,0,False,False,False,False
32597951,Training,8,27,False,False,True,True
32e9702f,Training,8,26,True,False,False,True
33067df9,Training,10,20,False,True,False,True
332202d5,Training,8,10,True,False,True,True
332efdb3,Training,8,40,True,False,True,True
3345333e,Training,6,0,False,False,False,False
337b420f,Training,12,54,True,False,True,True
3391f8c0,Training,10,0,False,False,False,False
33b52de3,Training,6,0,False,False,False,False
3428a4f5,Training,12,29,True,False,True,True
342ae2ed,Training,8,40,True,False,True,True
342dd610,Training,10,167,True,False,False,True
3490cc26,Training,10,0,False,False,False,False
34b99a2b,Training,10,20,True,False,True,True
34cfa167,Training,8,80,True,False,False,True
351d6448,Training,6,22,True,True,True,True
358ba94e,Training,10,37,True,False,True,True
3618c87e,Training,8,4,True,False,False,True
363442ee,Training,8,14,True,False,True,True
36d67576,Training,8,0,False,False,False,False
36fdfd69,Training,8,20,False,False,True,True
37ce87bb,Training,8,60,True,False,False,True
37d3e8b2,Training,8,2,False,False,True,True
3906de3d,Training,8,1,False,False,True,True
396d80d7,Training,6,114,True,False,False,True
3979b1a8,Training,6,0,False,False,False,False
39a8645d,Training,8,9,True,False,True,True
39e1d7f9,Training,8,115,True,False,True,True
3a301edc,Training,12,0,False,False,False,False
3aa6fb7a,Training,6,0,False,False,False,False
3ac3eb23,Training,6,8,False,True,True,True
3ad05f52,Training,8,13,True,False,True,True
3af2c5a8,Training,8,10,True,False,True,True
3b4c2228,Training,14,5,False,False,True,True
3bd292e8,Training,8,6,True,False,False,True
3bd67248,Training,8,12,True,False,True,True
3bdb4ada,Training,6,1,False,False,True,True
3befdf3e,Training,8,2,False,False,True,True
3c9b0459,Training,10,6,True,False,False,True
3cd86f4f,Training,12,26,True,True,True,True
3d31c5b3,Training,14,35,True,False,True,True
3d588dc9,Training,6,42,True,False,True,True
3d6c6e23,Training,8,2,False,True,False,True
3de23699,Training,10,6,True,False,True,True
3e980e27,Training,10,0,False,False,False,False
3eda0437,Training,10,39,True,False,True,True
3ee1011a,Training,8,17,True,True,False,True
3f23242b,Training,6,0,False,False,False,False
3f7978a0,Training,8,8,False,True,False,True
4093f84a,Training,8,34,True,False,True,True
40f6cd08,Training,8,0,False,False,False,False
412b6263,Training,8,10,True,False,False,True
414297c0,Training,8,16,True,False,False,True
41ace6b5,Training,8,26,True,False,False,True
41e4d17e,Training,6,42,True,False,False,True
423a55dc,Training,12,0,False,False,False,False
4258a5f9,Training,6,3,True,False,True,True
4290ef0e,Training,8,41,True,False,False,True
42918530,Training,10,0,False,False,False,False
42a15761,Training,8,96,True,False,True,True
42a50994,Training,10,8,False,False,True,True
42f14c03,Training,8,51,True,False,False,True
42f83767,Training,10,56,True,False,True,True
4347f46a,Training,8,0,False,False,False,False
4364c1c4,Training,8,78,True,False,False,True
444801d8,Training,8,1,False,False,True,True
445eab21,Training,8,22,True,False,True,True
447fd412,Training,8,2,False,True,False,True
44d8ac46,Training,10,1,False,False,True,True
44f52bb0,Training,16,25,True,False,True,True
4522001f,Training,6,0,False,False,False,False
456873bc,Training,8,34,True,False,True,True
45737921,Training,8,0,False,False,False,False
458e3a53,Training,6,45,True,False,True,True
45bbe264,Training,8,6,False,False,True,True
4612dd53,Training,8,0,False,False,False,False
46442a0e,Training,8,7,True,False,False,True
465b7d93,Training,8,62,True,False,False,True
469497ad,Training,8,20,True,False,True,True
46c35fc7,Training,8,35,True,False,True,True
46f33fce,Training,8,13,False,True,True,True
470c91de,Training,8,46,True,False,False,True
47c1f68c,Training,8,24,True,False,True,True
48131b3c,Training,8,11,True,False,True,True
484b58aa,Training,8,54,False,False,True,True
4852f2fa,Training,14,24,True,False,True,True
48634b99,Training,8,60,True,False,False,True
48d8fb45,Training,8,8,True,False,True,True
48f8583b,Training,14,10,True,False,True,True
4938f0c2,Training,8,0,False,False,False,False
494ef9d7,Training,10,2,False,True,False,True
496994bd,Training,6,24,True,False,False,True
49d1d64f,Training,8,16,False,False,True,True
4a1cacc2,Training,10,107,True,False,False,True
4acc7107,Training,10,2,False,False,True,True
4b6b68e5,Training,8,0,False,False,False,False
4be741c5,Training,8,47,True,True,False,True
4c177718,Training,12,6,True,False,False,True
4c4377d9,Training,10,17,True,False,False,True
4c5c2cf0,Training,8,0,False,False,False,False
4cd1b7b2,Training,8,5,False,False,True,True
4df5b0ae,Training,8,54,True,False,False,True
4e45f183,Training,8,0,False,False,False,False
4e469f39,Training,8,1,False,False,True,True
4e7e0eb9,Training,12,30,True,False,True,True
4f537728,Training,6,3,False,True,False,True
4ff4c9da,Training,8,118,True,False,True,True
5034a0b5,Training,10,0,False,False,False,False
505fff84,Training,12,25,True,False,True,True
506d28a5,Training,10,36,True,False,True,True
50846271,Training,10,13,False,False,True,True
508bd3b6,Training,8,27,True,False,True,True
50a16a69,Training,8,24,True,False,False,True
50aad11f,Training,8,15,True,True,True,True
50c07299,Training,8,208,True,False,False,True
50cb2852,Training,8,0,False,False,False,False
50f325b5,Training,10,15,False,False,True,True
5117e062,Training,8,11,True,False,True,True
5168d44c,Training,8,0,False,False,False,False
516b51b7,Training,8,0,False,False,False,False
5207a7b5,Training,8,1,True,False,False,True
522fdd07,Training,10,88,True,False,False,True
52364a65,Training,6,18,True,False,False,True
5289ad53,Training,10,41,True,False,False,True
52df9849,Training,8,67,True,False,False,True
52fd389e,Training,8,0,False,False,False,False
538b439f,Training,6,22,True,False,False,True
539a4f51,Training,8,20,True,False,False,True
53b68214,Training,10,14,True,False,True,True
543a7ed5,Training,6,43,True,False,False,True
54d82841,Training,8,0,False,False,False,False
54d9e175,Training,10,53,True,False,True,True
54db823b,Training,10,0,False,False,False,False
54dc2872,Training,6,1,False,False,True,True
55059096,Training,8,0,False,False,False,False
551d5bf1,Training,6,0,False,False,False,False
5521c0d9,Training,8,0,False,False,False,False
5582e5ca,Training,8,24,True,False,False,True
5587a8d0,Training,8,26,True,False,False,True
5614dbcf,Training,6,6,False,True,True,True
5623160b,Training,8,68,True,False,False,True
56dc2b01,Training,8,20,True,False,True,True
56ff96f3,Training,10,0,False,False,False,False
5751f35e,Training,6,15,True,False,True,True
575b1a71,Training,8,76,True,False,True,True
5783df64,Training,8,0,False,False,False,False
5792cb4d,Training,6,46,True,False,False,True
57aa92db,Training,10,2,False,True,False,True
57edb29d,Training,8,70,True,False,False,True
5833af48,Training,8,18,True,False,False,True
58743b76,Training,6,0,False,False,False,False
58c02a16,Training,8,62,True,False,True,True
58e15b12,Training,8,9,False,False,True,True
59341089,Training,10,7,True,False,False,True
5a5a2103,Training,6,52,True,False,True,True
5a719d11,Training,8,0,False,False,False,False
5ad4f10b,Training,8,6,True,False,True,True
5ad8a7c0,Training,12,13,True,False,True,True
5adee1b2,Training,6,0,False,False,False,False
5af49b42,Training,8,23,False,True,False,True
5b37cb25,Training,6,0,False,False,False,False
5b526a93,Training,6,0,False,False,False,False
5b692c0f,Training,6,0,False,False,False,False
5b6cbef5,Training,12,20,True,False,True,True
5bd6f4ac,Training,10,4,False,True,True,True
5c0a986e,Training,8,1,False,False,True,True
5c2c9af4,Training,8,7,True,False,True,True
5d2a5c43,Training,14,47,True,False,True,True
5d588b4d,Training,12,34,True,False,True,True
5daaa586,Training,8,13,True,False,True,True
5e6bbc0b,Training,10,14,True,False,True,True
5ecac7f7,Training,12,38,True,False,False,True
5ffb2104,Training,8,4,False,True,True,True
60a26a3e,Training,8,0,False,False,False,False
60b61512,Training,6,0,False,False,False,False
60c09cac,Training,6,0,False,False,False,False
60d73be6,Training,8,39,True,False,True,True
6150a2bd,Training,6,0,False,False,False,False
6165ea8f,Training,10,5,False,True,False,True
623ea044,Training,8,4,False,False,True,True
626c0bcc,Training,8,7,False,False,True,True
62ab2642,Training,8,12,True,False,True,True
62b74c02,Training,8,12,True,False,False,True
62c24649,Training,8,15,True,False,True,True
6350f1f4,Training,10,20,False,False,True,True
63613498,Training,8,16,False,False,True,True
639f5a19,Training,6,0,False,False,False,False
642248e4,Training,8,16,True,False,False,True
642d658d,Training,8,16,True,False,True,True
6430c8c4,Training,10,18,True,False,True,True
6455b5f5,Training,10,26,True,False,True,True
64a7c07e,Training,8,0,False,False,False,False
652646ff,Training,10,24,True,False,True,True
662c240a,Training,10,17,True,False,False,True
668eec9a,Training,8,41,True,False,False,True
66ac4c3b,Training,6,81,True,False,False,True
66e6c45b,Training,6,12,False,True,False,True
66f2d22f,Training,10,18,True,False,True,True
67385a82,Training,10,6,False,False,True,True
673ef223,Training,8,0,False,False,False,False
67636eac,Training,8,23,True,False,True,True
6773b310,Training,10,28,True,False,True,True
67a3c6ac,Training,8,2,True,False,False,True
67a423a3,Training,8,5,True,False,True,True
67c52801,Training,10,10,True,False,False,True
67e8384a,Training,10,9,True,False,False,True
681b3aeb,Training,8,9,True,False,True,True
6855a6e4,Training,8,0,False,False,False,False
689c358e,Training,6,24,True,False,True,True
68b16354,Training,8,0,False,False,False,False
68b67ca3,Training,8,13,False,True,False,True
68bc2e87,Training,10,50,True,True,False,True
692cd3b6,Training,8,0,False,False,False,False
694f12f3,Training,6,0,False,False,False,False
695367ec,Training,8,58,True,False,True,True
696d4842,Training,8,0,False,False,False,False
69889d6e,Training,10,5,False,False,True,True
6a11f6da,Training,12,29,True,False,True,True
6a1e5592,Training,6,9,True,False,True,True
6a980be1,Training,8,28,True,False,True,True
6aa20dc0,Training,8,172,True,False,False,True
6ad5bdfd,Training,8,8,True,False,False,True
6b9890af,Training,8,20,True,False,True,True
6bcdb01e,Training,6,3,True,False,False,True
6c434453,Training,6,6,False,False,True,True
6ca952ad,Training,8,92,True,False,False,True
6cbe9eb8,Training,8,25,True,False,True,True
6cdd2623,Training,8,14,True,True,True,True
6cf79266,Training,8,8,False,False,True,True
6d0160f0,Training,10,50,True,False,True,True
6d0aefbc,Training,10,8,True,False,False,True
6d1d5c90,Training,8,0,False,False,False,False
6d58a25d,Training,8,0,False,False,False,False
6d75e8bb,Training,8,0,False,False,False,False
6df30ad6,Training,12,7,False,True,False,True
6e02f1e3,Training,12,25,True,False,True,True
6e19193c,Training,6,0,False,False,False,False
6e82a1ae,Training,8,0,False,False,False,False
6ea4a07e,Training,16,18,True,False,True,True
6ecd11f4,Training,8,1,False,False,True,True
6f473927,Training,10,17,True,False,True,True
6f8cd79b,Training,10,20,True,False,False,True
6fa7a44f,Training,10,7,True,False,False,True
6ffe8f07,Training,12,7,False,False,True,True
7039b2d7,Training,8,53,True,False,False,True
705a3229,Training,10,12,False,False,True,True
712bf12e,Training,8,17,False,False,True,True
72207abc,Training,8,8,False,True,False,True
72322fa7,Training,8,5,False,True,False,True
72a961c9,Training,10,10,False,True,True,True
72ca375d,Training,8,15,True,False,True,True
73182012,Training,8,7,False,False,True,True
73c3b0d8,Training,10,14,True,False,True,True
73ccf9c2,Training,8,7,True,False,True,True
7447852a,Training,8,13,False,False,True,True
7468f01a,Training,8,15,True,False,False,True
746b3537,Training,12,58,True,True,False,True
74dd1130,Training,10,8,True,False,False,True
753ea09b,Training,8,18,True,False,True,True
758abdf0,Training,6,27,True,False,True,True
759f3fd3,Training,6,18,True,False,True,True
75b8110e,Training,12,17,True,False,True,True
760b3cac,Training,8,4,False,False,True,True
762cd429,Training,8,9,True,False,True,True
770cc55f,Training,10,12,True,False,False,True
776ffc46,Training,10,12,False,False,True,True
77fdfe62,Training,8,29,True,False,True,True
780d0b14,Training,8,16,False,False,True,True
782b5218,Training,8,28,True,False,True,True
7837ac64,Training,10,42,True,True,True,True
78e78cff,Training,6,48,True,False,False,True
79369cc6,Training,8,25,False,False,True,True
794b24be,Training,24,11,True,False,True,True
7953d61e,Training,12,0,False,False,False,False
79cce52d,Training,8,0,False,False,False,False
7acdf6d3,Training,6,94,True,False,False,True
7b6016b9,Training,8,16,True,False,True,True
7b7f7511,Training,8,5,True,False,False,True
7bb29440,Training,12,33,True,False,False,True
7c008303,Training,8,26,True,True,True,True
7c8af763,Training,8,4,True,False,True,True
7c9b52a0,Training,8,58,True,False,True,True
7d18a6fb,Training,8,20,False,False,True,True
7d1f7ee8,Training,8,0,False,False,False,False
7d419a02,Training,8,0,False,False,False,False
7d7772cc,Training,6,45,True,False,True,True
7ddcd7ec,Training,8,3,False,False,True,True
7df24a62,Training,10,0,False,False,False,False
7e02026e,Training,8,12,False,False,True,True
7e0986d6,Training,6,1,False,False,True,True
7e2bad24,Training,10,5,False,False,True,True
7e4d4f7c,Training,10,52,True,True,True,True
7e576d6e,Training,8,110,True,False,False,True
7ec998c9,Training,8,46,True,False,False,True
7ee1c6ea,Training,8,16,False,False,True,True
7f4411dc,Training,8,0,False,False,False,False
7fe24cdd,Training,8,3,True,False,True,True
80214e03,Training,8,0,False,False,False,False
80af3007,Training,8,8,True,False,True,True
810b9b61,Training,8,4,False,False,True,True
817e6c09,Training,12,0,False,False,False,False
81c0276b,Training,8,32,True,False,True,True
825aa9e9,Training,10,26,True,False,False,True
82819916,Training,10,34,False,True,False,True
83302e8f,Training,8,13,True,False,True,True
833966f4,Training,6,34,True,True,False,True
833dafe3,Training,6,9,True,False,True,True
834ec97d,Training,8,4,False,True,False,True
83b6b474,Training,6,14,True,False,False,True
83eb0a57,Training,8,148,True,False,False,True
8403a5d5,Training,8,15,True,False,False,True
84551f4c,Training,10,26,True,True,False,True
845d6e51,Training,8,16,False,False,True,True
846bdb03,Training,10,4,False,True,False,True
84ba50d3,Training,8,49,True,False,False,True
84db8fc4,Training,10,11,False,False,True,True
84f2aca1,Training,10,1,False,False,True,True
855e0971,Training,10,93,True,False,True,True
8597cfd7,Training,10,25,True,False,False,True
85b81ff1,Training,10,100,True,False,True,True
85c4e7cd,Training,10,40,True,False,False,True
85fa5666,Training,10,7,False,False,True,True
8618d23e,Training,8,9,True,False,False,True
868de0fa,Training,12,7,False,False,True,True
8719f442,Training,8,12,True,False,True,True
8731374e,Training,8,20,True,False,True,True
878187ab,Training,6,79,True,False,True,True
87ab05b8,Training,8,19,True,False,False,True
880c1354,Training,8,12,True,False,False,True
88207623,Training,6,0,False,False,False,False
8886d717,Training,8,14,True,False,False,True
88a10436,Training,8,2,False,False,True,True
88a62173,Training,8,22,True,False,True,True
890034e9,Training,8,24,False,False,True,True
891232d6,Training,10,0,False,False,False,False
896d5239,Training,8,18,False,False,True,True
8a004b2b,Training,8,0,False,False,False,False
8a371977,Training,8,148,True,False,True,True
8a6d367c,Training,8,80,True,False,True,True
8abad3cf,Training,6,20,True,False,True,True
8b28cd80,Training,14,33,True,False,True,True
8ba14f53,Training,14,34,True,True,True,True
8be77c9e,Training,8,8,True,False,True,True
8cb8642d,Training,8,0,False,False,False,False
8d5021e8,Training,8,24,True,False,True,True
8d510a79,Training,6,8,True,True,False,True
8dab14c2,Training,16,100,True,False,False,True
8dae5dfc,Training,10,0,False,False,False,False
8e1813be,Training,8,32,True,False,False,True
8e2edd66,Training,8,9,True,False,True,True
8e301a54,Training,8,80,True,False,False,True
8e5a5113,Training,8,36,True,False,True,True
8eb1be9a,Training,6,26,True,False,True,True
8ee62060,Training,8,12,False,False,True,True
8efcae92,Training,8,23,True,False,False,True
8f2ea7aa,Training,8,4,False,False,True,True
8fbca751,Training,8,13,False,False,True,True
8fff9e47,Training,6,10,True,False,True,True
902510d5,Training,10,5,False,True,True,True
90347967,Training,8,0,False,False,False,False
90c28cc7,Training,8,1,True,False,False,True
90f3ed37,Training,8,11,True,True,True,True
9110e3c5,Training,18,23,True,True,True,True
913fb3ed,Training,10,0,False,False,False,False
91413438,Training,10,9,True,False,True,True
91714a58,Training,8,1,False,False,True,True
9172f3a0,Training,6,8,False,False,True,True
917bccba,Training,8,4,False,False,True,True
928ad970,Training,8,0,False,False,False,False
92e50de0,Training,8,105,True,False,True,True
9344f635,Training,8,38,True,False,True,True
9356391f,Training,6,8,True,False,True,True
93b4f4b3,Training,6,28,True,False,True,True
93b581b8,Training,8,8,False,False,True,True
93c31fbe,Training,8,0,False,False,False,False
94133066,Training,8,22,True,True,False,True
941d9a10,Training,8,58,True,False,True,True
94414823,Training,8,0,False,False,False,False
9473c6fb,Training,8,41,True,False,True,True
94be5b80,Training,6,0,False,False,False,False
94f9d214,Training,10,15,True,False,True,True
