task_id,average_lines,is_line_dominant
ea32f347,2.8,1
6773b310,2.0,1
8597cfd7,1.6,1
9def23fe,2.0,1
29623171,4.0,1
264363fd,9.375,1
8719f442,2.75,1
d364b489,0.0,0
44f52bb0,0.3125,0
50a16a69,0.75,0
8e301a54,5.75,1
8dab14c2,7.6875,1
aaef0977,0.3333333333333333,0
b7cb93ac,2.5,1
e2092e0c,4.25,1
2dd70a9a,9.125,1
0692e18c,0.25,0
963e52fc,0.0,0
11852cab,0.0,0
8a371977,11.0,1
25d487eb,4.0,1
e3fe1151,2.125,1
5b6cbef5,6.416666666666667,1
846bdb03,4.5,1
96a8c0cd,14.8,1
6c434453,9.0,1
ad173014,28.5,1
2bee17df,6.75,1
9dfd6313,0.0,0
2753e76c,0.875,0
7ddcd7ec,0.0,0
9caba7c3,43.0,1
444801d8,7.25,1
e9c9d9a1,5.875,1
bc4146bd,4.6,1
f3e62deb,4.0,1
f76d97a5,2.625,1
a406ac07,2.0,1
9841fdad,15.833333333333334,1
465b7d93,7.0,1
bd14c3bf,28.25,1
e3497940,3.0,1
7b6016b9,10.25,1
5e6bbc0b,1.0,1
d10ecb37,1.25,1
b0722778,0.0,0
e48d4e1a,2.2,1
902510d5,1.2,1
5daaa586,6.5,1
8abad3cf,5.5,1
c48954c1,0.625,0
8ee62060,0.0,0
e6721834,8.625,1
69889d6e,0.5,0
48634b99,16.125,1
1da012fc,13.0,1
a87f7484,1.8,1
a5313dff,9.25,1
e619ca6e,0.75,0
64a7c07e,1.5,1
310f3251,0.0,0
67a3c6ac,2.25,1
df8cc377,9.0,1
f9a67cb5,9.5,1
9f5f939b,15.0,1
45737921,4.5,1
a48eeaf7,0.0,0
753ea09b,66.625,1
9565186b,2.1,1
3befdf3e,6.0,1
1990f7a8,5.0,1
e99362f0,4.785714285714286,1
e7b06bea,2.0,1
a834deea,4.0,1
668eec9a,9.375,1
396d80d7,3.6666666666666665,1
7447852a,1.0,1
0a1d4ef5,12.5,1
99b1bc43,2.3,1
cf98881b,3.6666666666666665,1
662c240a,2.6,1
e78887d1,7.9,1
5289ad53,5.2,1
b94a9452,2.0,1
7f4411dc,0.875,0
ce9e57f2,4.0,1
4290ef0e,17.875,1
8be77c9e,0.625,0
ecb67b6d,24.5,1
ff805c23,26.375,1
d19f7514,3.4,1
0e671a1a,1.7,1
f15e1fac,5.375,1
db93a21d,2.6,1
99306f82,9.0,1
d0f5fe59,2.0,1
85fa5666,0.0,0
09629e4f,4.0,1
1c02dbbe,0.0,0
be94b721,2.8,1
9a4bb226,2.625,1
27f8ce4f,0.3,0
5623160b,8.375,1
e681b708,11.5,1
97239e3d,67.5,1
50c07299,0.75,0
0607ce86,22.375,1
22eb0ac0,0.625,0
22168020,1.0,1
1f642eb9,1.25,1
3f23242b,5.333333333333333,1
37ce87bb,7.875,1
90347967,0.0,0
623ea044,0.0,0
0962bcdd,0.0,0
c8f0f002,1.0,1
1b60fb0c,6.5,1
1c0d0a4b,3.25,1
f1cefba8,6.0,1
3d6c6e23,1.375,1
b527c5c6,2.2,1
bb43febb,4.333333333333333,1
e7a25a18,4.0,1
73ccf9c2,7.75,1
5614dbcf,2.6666666666666665,1
cf133acc,9.125,1
f823c43c,18.5,1
e9b4f6fc,4.8,1
94be5b80,9.0,1
ef26cbf6,5.0,1
b7249182,2.0,1
2a5f8217,6.0,1
692cd3b6,7.0,1
184a9768,9.0,1
a78176bb,0.75,0
72ca375d,2.0,1
9720b24f,3.6,1
dc1df850,3.125,1
08ed6ac7,3.6666666666666665,1
d93c6891,3.875,1
dc2aa30b,8.75,1
e1d2900e,0.0,0
855e0971,1.5,1
55059096,7.5,1
e69241bd,5.125,1
009d5c81,5.833333333333333,1
c9680e90,8.875,1
696d4842,5.25,1
845d6e51,8.0,1
2c0b0aff,41.7,1
6e82a1ae,1.5,1
48f8583b,1.2857142857142858,1
3906de3d,5.125,1
0ca9ddb6,0.0,0
f341894c,7.75,1
9b4c17c4,4.333333333333333,1
6ca952ad,8.625,1
bc93ec48,14.0,1
759f3fd3,10.0,1
45bbe264,4.625,1
7ee1c6ea,9.25,1
f18ec8cc,8.5,1
dd2401ed,1.0,1
e729b7be,11.0,1
762cd429,0.375,0
6150a2bd,0.0,0
2faf500b,7.75,1
beb8660c,3.5,1
46442a0e,0.875,0
6f8cd79b,2.0,1
ac0a08a4,0.0,0
363442ee,1.75,1
d23f8c26,0.0,0
c920a713,20.75,1
484b58aa,5.375,1
d687bc17,4.0,1
72207abc,0.0,0
ac3e2b04,16.6,1
0c786b71,2.75,1
e88171ec,37.25,1
e98196ab,0.5,0
68b16354,1.75,1
e509e548,11.25,1
281123b4,5.071428571428571,1
4c4377d9,1.9,1
7e02026e,16.5,1
e9afcf9a,1.0,1
67636eac,4.5,1
56ff96f3,0.0,0
80af3007,1.5,1
825aa9e9,12.5,1
673ef223,3.5,1
551d5bf1,23.0,1
2b01abd0,2.5,1
b942fd60,2.142857142857143,1
97a05b5b,10.375,1
070dd51e,2.6666666666666665,1
b190f7f5,6.75,1
d2acf2cb,5.875,1
d6e50e54,3.25,1
ac6f9922,10.0,1
ad38a9d0,13.333333333333334,1
bbb1b8b6,4.055555555555555,1
e45ef808,5.666666666666667,1
ce602527,8.5,1
54d9e175,2.4,1
8e2edd66,0.25,0
0b17323b,0.0,0
d931c21c,21.8,1
9968a131,2.6666666666666665,1
a6953f00,0.0,0
39a8645d,2.375,1
c87289bb,6.8,1
3a301edc,2.6666666666666665,1
a3325580,2.4285714285714284,1
59341089,1.8,1
79369cc6,19.0,1
d4469b4b,1.7777777777777777,1
4e45f183,10.0,1
c909285e,33.5,1
b60334d2,0.0,0
23581191,2.3333333333333335,1
58e15b12,8.875,1
7b7f7511,0.25,0
e1baa8a4,0.0,0
7df24a62,9.7,1
eb281b96,6.666666666666667,1
7d419a02,9.125,1
00dbd492,10.0,1
a416b8f3,0.0,0
18419cfa,17.375,1
3ad05f52,23.625,1
1f0c79e5,5.2,1
137eaa0f,0.25,0
aba27056,3.75,1
6bcdb01e,8.166666666666666,1
cad67732,0.0,0
84db8fc4,7.8,1
50f325b5,9.9,1
5ecac7f7,7.833333333333333,1
b27ca6d3,4.5,1
272f95fa,4.0,1
11dc524f,0.875,0
5adee1b2,27.333333333333332,1
cbded52d,0.0,0
760b3cac,2.125,1
c3e719e8,1.25,1
ea959feb,3.375,1
fea12743,13.25,1
9344f635,5.875,1
7e2bad24,2.8,1
2204b7a8,2.0,1
4a1cacc2,0.3,0
4be741c5,5.125,1
995c5fa3,4.1,1
4ff4c9da,38.5,1
edcc2ff0,10.25,1
445eab21,4.0,1
c0f76784,11.0,1
99caaf76,6.25,1
0a938d79,3.5,1
52fd389e,11.75,1
bdad9b1f,1.0,1
6ad5bdfd,1.125,1
e9fc42f2,10.8,1
66e6c45b,0.0,0
a85d4709,1.3,1
253bf280,0.6111111111111112,0
305b1341,12.375,1
810b9b61,10.5,1
b74ca5d1,19.5,1
5521c0d9,0.5,0
67385a82,0.6,0
2601afb7,9.5,1
4258a5f9,7.333333333333333,1
ec883f72,2.6,1
a64e4611,44.75,1
ded97339,1.375,1
5c2c9af4,6.25,1
e8593010,14.875,1
c64f1187,0.0,0
c92b942c,3.0,1
d6ad076f,0.0,0
1e81d6f9,2.0,1
4522001f,0.0,0
8886d717,16.875,1
22a4bbc2,4.8,1
93b4f4b3,13.333333333333334,1
a3f84088,11.6,1
230f2e48,4.75,1
d5d6de2d,3.7,1
045e512c,9.5,1
b1fc8b8e,1.3571428571428572,1
2281f1f4,0.0,0
1f876c06,0.0,0
bd4472b8,3.75,1
83eb0a57,9.375,1
506d28a5,4.1,1
2f0c5170,2.875,1
3de23699,1.0,1
6455b5f5,6.8,1
94133066,10.0,1
182e5d0f,4.75,1
d4b1c2b1,0.3125,0
d753a70b,11.875,1
a644e277,28.333333333333332,1
4c5c2cf0,3.125,1
a8610ef7,2.4,1
5582e5ca,0.0,0
928ad970,6.0,1
9d9215db,0.0,0
470c91de,3.25,1
25c199f5,7.357142857142857,1
694f12f3,4.166666666666667,1
746b3537,1.0833333333333333,1
5117e062,3.125,1
985ae207,17.875,1
e4941b18,1.25,1
5b37cb25,19.333333333333332,1
15663ba9,10.875,1
85b81ff1,5.0,1
80214e03,9.625,1
3e980e27,1.2,1
a5f85a15,0.0,0
b2bc3ffd,5.25,1
963f59bc,2.8,1
c9f8e694,3.1666666666666665,1
11e1fe23,0.0,0
6d0aefbc,1.0,1
12422b43,1.5833333333333333,1
3ac3eb23,0.0,0
d6542281,7.6,1
4df5b0ae,3.75,1
bae5c565,5.666666666666667,1
da6e95e5,32.7,1
6a980be1,5.75,1
12eac192,2.4,1
834ec97d,1.75,1
c4d1a9ae,6.5,1
67e8384a,1.1,1
fd4b2b02,1.875,1
833dafe3,5.0,1
e74e1818,8.5,1
aa300dc3,6.2,1
447fd412,2.0,1
1d0a4b61,16.5,1
9110e3c5,1.0,1
d90796e8,0.0,0
41e4d17e,12.833333333333334,1
0b148d64,18.625,1
ecdecbb3,9.625,1
6cbe9eb8,7.5,1
4e469f39,6.0,1
9edfc990,13.25,1
fb791726,1.25,1
9f27f097,7.5,1
c658a4bd,15.166666666666666,1
f8b3ba0a,0.0,0
5783df64,0.0,0
8a004b2b,0.25,0
5b692c0f,15.833333333333334,1
ac0c5833,3.75,1
c803e39c,21.375,1
22208ba4,0.9,0
fd096ab6,11.833333333333334,1
a1aa0c1e,8.5,1
18447a8d,16.0,1
cb227835,0.75,0
5792cb4d,4.0,1
c97c0139,4.666666666666667,1
c8b7cc0f,2.5,1
1c56ad9f,4.4,1
0520fde7,0.875,0
981add89,9.333333333333334,1
bc1d5164,0.4166666666666667,0
13713586,2.75,1
6d75e8bb,5.625,1
cf5fd0ad,6.0,1
18286ef8,12.25,1
f3cdc58f,1.75,1
5b526a93,40.0,1
9473c6fb,9.0,1
32e9702f,3.125,1
342ae2ed,7.25,1
50aad11f,5.75,1
9caf5b84,2.5,1
25d8a9c8,1.2,1
b775ac94,5.375,1
2c737e39,0.0,0
178fcbfb,2.25,1
7c8af763,11.375,1
48d8fb45,1.625,1
c8cbb738,4.375,1
0d3d703e,3.0,1
fcb5c309,7.0,1
31d5ba1a,1.2857142857142858,1
27a28665,0.2,0
66f2d22f,2.7,1
f1bcbc2c,10.4,1
46c35fc7,1.75,1
3ee1011a,6.25,1
007bbfb7,0.9166666666666666,0
8b28cd80,4.214285714285714,1
cfb2ce5a,7.25,1
6b9890af,4.375,1
75b8110e,2.3333333333333335,1
94414823,4.0,1
a8c38be5,12.0,1
ed98d772,2.4166666666666665,1
3345333e,6.333333333333333,1
4364c1c4,3.5,1
bda2d7a6,7.2,1
84551f4c,5.0,1
320afe60,13.6,1
6d1d5c90,7.75,1
212895b5,3.625,1
41ace6b5,20.75,1
3d588dc9,10.166666666666666,1
88207623,11.166666666666666,1
90c28cc7,0.0,0
5d2a5c43,4.642857142857143,1
f8c80d96,8.25,1
2ccd9fef,18.625,1
57aa92db,1.6,1
83302e8f,25.375,1
b7256dcd,5.0,1
af24b4cc,1.375,1
e6de6e8f,0.875,0
62ab2642,11.375,1
a61f2674,2.5,1
5ad8a7c0,0.4166666666666667,0
332202d5,10.125,1
ce8d95cc,4.6,1
538b439f,24.0,1
1d61978c,13.0,1
1b2d62fb,1.9166666666666667,1
ba9d41b8,5.0,1
7d18a6fb,6.625,1
3aa6fb7a,0.0,0
a09f6c25,40.4,1
e73095fd,16.75,1
ba1aa698,12.0,1
7039b2d7,4.5,1
b15fca0b,5.75,1
689c358e,19.666666666666668,1
1efba499,1.75,1
95990924,0.0,0
f25ffba3,2.0,1
256b0a75,7.375,1
0c9aba6e,2.3,1
c1990cce,0.0,0
575b1a71,4.625,1
d06dbe63,3.3333333333333335,1
84ba50d3,7.125,1
2697da3f,7.0,1
06df4c85,14.0,1
e133d23d,1.5833333333333333,1
9f236235,3.0,1
4938f0c2,4.5,1
50846271,32.1,1
712bf12e,5.625,1
e5c44e8f,3.375,1
d37a1ef5,2.0,1
1a244afd,3.75,1
1d398264,2.3,1
8fff9e47,10.5,1
f8a8fe49,3.5,1
f3e14006,3.75,1
c61be7dc,1.5,1
6a1e5592,7.0,1
a59b95c0,1.0,1
2dee498d,2.25,1
1a07d186,2.0,1
34b99a2b,3.0,1
b7f8a4d8,90.0,1
941d9a10,6.375,1
5751f35e,5.333333333333333,1
f0df5ff0,4.375,1
91714a58,0.375,0
d43fd935,0.75,0
358ba94e,13.7,1
1e5d6875,11.0,1
14754a24,21.5,1
df9fd884,6.0,1
1cf80156,2.5,1
984d8a3e,8.833333333333334,1
e9ac8c9e,0.0,0
ff2825db,5.9,1
234bbc79,1.0,1
1bfc4729,4.0,1
5d588b4d,3.5,1
21f83797,2.0,1
e872b94a,3.6,1
f0100645,12.666666666666666,1
e9614598,1.0,1
af902bf9,0.0,0
b457fec5,17.5,1
b0c4d837,1.7142857142857142,1
2c608aff,4.1,1
7d7772cc,10.833333333333334,1
de493100,33.8,1
b6afb2da,2.1666666666666665,1
2072aba6,0.5,0
83b6b474,6.166666666666667,1
ac0c2ac3,9.0,1
5a719d11,28.25,1
fe9372f3,2.0,1
40f6cd08,4.875,1
e5062a87,12.5,1
a61ba2ce,0.0,0
3428a4f5,4.333333333333333,1
fd02da9e,1.1,1
b7999b51,2.375,1
33067df9,0.0,0
d406998b,0.0,0
32597951,10.875,1
d56f2372,6.625,1
87ab05b8,1.375,1
10fcaaa3,0.7,0
b8cdaf2b,1.6,1
6df30ad6,0.6666666666666666,0
9b365c51,2.5,1
52364a65,6.333333333333333,1
7d1f7ee8,20.75,1
952a094c,4.0,1
ff28f65a,0.0,0
db7260a4,4.083333333333333,1
e57337a4,1.125,1
6e02f1e3,0.5833333333333334,0
8efcae92,17.625,1
dc46ea44,5.25,1
12997ef3,2.5,1
74dd1130,0.8,0
33b52de3,56.666666666666664,1
58c02a16,3.625,1
60b61512,2.3333333333333335,1
dce56571,3.0,1
1acc24af,8.2,1
c35c1b4c,5.0,1
8e5a5113,5.0,1
14b8e18c,10.125,1
f8be4b64,5.2,1
78e78cff,2.5,1
776ffc46,11.0,1
891232d6,9.9,1
36d67576,3.75,1
1e0a9b12,0.5,0
6d0160f0,4.0,1
3618c87e,0.5,0
8cb8642d,6.25,1
5af49b42,0.0,0
4347f46a,6.0,1
17829a00,15.666666666666666,1
458e3a53,4.333333333333333,1
42f83767,48.3,1
27a77e38,1.0,1
63613498,5.75,1
8e1813be,5.375,1
94f9d214,1.6,1
a04b2602,23.375,1
fe45cba4,7.0,1
17b80ad2,2.5,1
79cce52d,8.375,1
db118e2a,9.2,1
abbfd121,5.625,1
7c008303,3.625,1
bbc9ae5d,0.9166666666666666,0
05f2a901,1.5,1
a1570a43,3.2,1
1b59e163,11.833333333333334,1
b5bb5719,3.25,1
e21a174a,6.6,1
42a15761,17.75,1
d255d7a7,4.125,1
890034e9,48.25,1
1be83260,39.125,1
caa06a1f,0.5,0
8dae5dfc,18.8,1
8a6d367c,10.5,1
6cdd2623,1.0,1
25094a63,56.666666666666664,1
e39e9282,8.25,1
7e576d6e,14.625,1
ff72ca3e,0.8,0
e734a0e8,12.833333333333334,1
9ba4a9aa,20.25,1
f8ff0b80,1.75,1
93c31fbe,1.25,1
2de01db2,2.375,1
97999447,0.0,0
8403a5d5,1.875,1
6855a6e4,3.375,1
7acdf6d3,5.0,1
9b2a60aa,5.25,1
7fe24cdd,1.25,1
f9d67f8b,36.7,1
c59eb873,0.5,0
b9630600,31.25,1
00576224,0.0,0
44d8ac46,9.8,1
72a961c9,1.9,1
5bd6f4ac,0.1,0
2e65ae53,29.333333333333332,1
db615bd4,40.25,1
fafffa47,0.6666666666666666,0
b2862040,22.0,1
7953d61e,3.25,1
dbc1a6ce,2.1,1
fc754716,2.0,1
cd3c21df,2.0,1
67c52801,1.0,1
6aa20dc0,4.375,1
bd283c4a,9.833333333333334,1
dae9d2b5,0.5714285714285714,0
0bb8deee,3.0,1
77fdfe62,3.375,1
73c3b0d8,1.0,1
aedd82e4,0.6,0
2546ccf6,11.0,1
c6e1b8da,1.75,1
00d62c1b,6.666666666666667,1
228f6490,7.75,1
f8f52ecc,12.8,1
f45f5ca7,0.0,0
626c0bcc,1.875,1
25ff71a9,0.3333333333333333,0
9bebae7a,3.9166666666666665,1
2f767503,15.625,1
da2b0fe3,2.9,1
4612dd53,1.875,1
337b420f,6.583333333333333,1
f83cb3f6,1.875,1
b230c067,6.0,1
68b67ca3,0.0,0
22233c11,0.0,0
5ffb2104,0.875,0
a65b410d,1.75,1
b7fb29bc,9.5,1
ad3b40cf,14.875,1
8731374e,5.5,1
1f85a75f,3.8333333333333335,1
29c11459,1.3333333333333333,1
f5aa3634,1.625,1
d968ffd4,5.7,1
60d73be6,8.875,1
e048c9ed,1.7,1
e345f17b,1.75,1
e7639916,2.375,1
31aa019c,2.0,1
5833af48,9.875,1
3194b014,6.625,1
52df9849,3.625,1
3f7978a0,2.0,1
f3b10344,0.0,0
278e5215,8.0,1
917bccba,7.0,1
ae3edfdc,0.0,0
aabf363d,3.3333333333333335,1
9aec4887,5.25,1
4852f2fa,1.7142857142857142,1
9172f3a0,0.0,0
522fdd07,2.8,1
6ea4a07e,0.5,0
9c56f360,3.25,1
bf89d739,1.6,1
9af7a82c,2.2,1
a680ac02,10.0,1
7ec998c9,1.75,1
eb5a1d5d,5.375,1
e40b9e2f,1.875,1
31adaf00,5.375,1
a79310a0,0.5,0
c3202e5a,4.375,1
1a2e2828,1.3333333333333333,1
412b6263,6.5,1
e9bb6954,4.7,1
ea786f4a,3.0,1
91413438,0.4,0
1caeab9d,0.0,0
d07ae81c,10.875,1
705a3229,2.2,1
d47aa2ff,0.5,0
84f2aca1,13.6,1
5207a7b5,2.125,1
9c1e755f,4.1,1
652646ff,8.5,1
e41c6fd3,10.0,1
9f669b64,1.5,1
150deff5,3.375,1
973e499e,17.2,1
5168d44c,4.0,1
ba97ae07,1.2,1
42918530,50.2,1
469497ad,0.5,0
13f06aa5,7.875,1
a8d7556c,41.0,1
2b9ef948,6.5,1
2dc579da,2.25,1
f5c89df1,1.75,1
3c9b0459,0.6,0
bcb3040b,13.875,1
4cd1b7b2,0.0,0
17b866bd,46.25,1
1c786137,8.5,1
992798f6,0.5,0
cc9053aa,8.0,1
28bf18c6,1.5,1
d749d46f,8.875,1
bb52a14b,1.75,1
95755ff2,1.75,1
5587a8d0,8.875,1
ce039d91,1.9,1
58743b76,0.0,0
5a5a2103,18.0,1
60a26a3e,0.625,0
6fa7a44f,0.7,0
e50d258f,6.125,1
85c4e7cd,16.0,1
1190e5a7,5.5,1
42f14c03,6.75,1
c7d4e6ad,5.333333333333333,1
342dd610,2.1,1
56dc2b01,4.25,1
fc4aaf52,3.6666666666666665,1
98c475bf,5.5,1
3d31c5b3,3.7142857142857144,1
92e50de0,15.75,1
e76a88a6,6.0,1
642d658d,25.375,1
d304284e,14.666666666666666,1
017c7c7b,1.375,1
539a4f51,5.75,1
bf32578f,0.5,0
97c75046,1.125,1
ddf7fa4f,0.0,0
3cd86f4f,3.3333333333333335,1
93b581b8,0.0,0
a2d730bd,4.75,1
22806e14,12.75,1
d9fac9be,2.0,1
05269061,0.0,0
3bdb4ada,10.166666666666666,1
c6141b15,10.25,1
3bd67248,1.375,1
0e206a2e,1.0,1
48131b3c,3.625,1
4093f84a,2.875,1
62b74c02,2.0,1
868de0fa,12.666666666666666,1
508bd3b6,0.0,0
15113be4,23.875,1
8fbca751,3.375,1
23b5c85d,0.25,0
df978a02,13.5,1
e84fef15,64.625,1
30f42897,3.25,1
a2fd1cf0,1.0,1
8618d23e,2.875,1
fc10701f,4.875,1
34cfa167,17.5,1
695367ec,3.25,1
8ba14f53,4.5,1
9f8de559,4.0,1
2013d3e2,0.0,0
543a7ed5,15.166666666666666,1
6ffe8f07,0.3333333333333333,0
fcc82909,0.0,0
aaecdb9a,8.375,1
d4a91cb9,1.0,1
25e02866,7.5,1
90f3ed37,2.875,1
8f2ea7aa,0.0,0
d4f3cd78,4.5,1
a740d043,0.75,0
7bb29440,13.166666666666666,1
292dd178,10.625,1
423a55dc,3.4166666666666665,1
67a423a3,3.75,1
319f2597,7.625,1
252143c9,9.5,1
6350f1f4,9.2,1
de1cd16c,3.4,1
7468f01a,5.0,1
516b51b7,9.75,1
b71a7747,27.666666666666668,1
a416fc5b,3.5,1
025d127b,3.5,1
b9b7f026,1.5,1
a57f2f04,6.375,1
47c1f68c,3.375,1
8d510a79,3.0,1
b745798f,4.75,1
b91ae062,0.0,0
9772c176,2.6666666666666665,1
a934301b,9.0,1
98cf29f8,0.5,0
03560426,1.25,1
e26a3af2,12.75,1
0d87d2a6,1.0,1
5034a0b5,12.8,1
29700607,2.75,1
88a10436,0.375,0
f0f8a26d,13.125,1
afe3afe9,60.375,1
505fff84,4.166666666666667,1
758abdf0,2.6666666666666665,1
22425bda,4.6,1
36fdfd69,21.125,1
d22278a0,7.4,1
28e73c20,5.5,1
73182012,1.5,1
5c0a986e,0.0,0
ca8de6ea,0.0,0
db3e9e38,3.1666666666666665,1
60c09cac,0.16666666666666666,0
833966f4,0.0,0
6f473927,4.2,1
0becf7df,3.0,1
50cb2852,6.125,1
54dc2872,5.333333333333333,1
642248e4,2.0,1
3979b1a8,11.0,1
cce03e0d,0.0,0
d4c90558,5.0,1
4f537728,0.0,0
639f5a19,0.0,0
99fa7670,1.3,1
456873bc,9.375,1
54d82841,2.0,1
09c534e7,41.125,1
4b6b68e5,19.125,1
53b68214,2.7,1
72322fa7,0.0,0
2a28add5,10.333333333333334,1
0a2355a6,21.4,1
963c33f8,12.25,1
137f0df0,1.375,1
e4075551,3.5,1
9f41bd9c,5.166666666666667,1
195ba7dc,4.5,1
d8c310e9,1.75,1
770cc55f,2.3,1
b25e450b,15.625,1
103eff5b,0.3333333333333333,0
6a11f6da,4.833333333333333,1
a096bf4d,70.0,1
b0f4d537,3.7,1
ef135b50,0.5,0
b4a43f3b,1.5,1
a9f96cdd,0.0,0
3bd292e8,9.5,1
3b4c2228,0.0,0
6ecd11f4,0.0,0
ad7e01d0,3.4,1
d9f24cd1,2.1666666666666665,1
996ec1f3,7.0,1
f35d900a,8.0,1
414297c0,6.75,1
b782dc8a,35.666666666666664,1
f0afb749,0.0,0
6165ea8f,5.7,1
0f63c0b9,5.9,1
c9e6f938,0.25,0
e7dd8335,4.875,1
351d6448,6.166666666666667,1
1fad071e,0.375,0
d13f3404,0.0,0
68bc2e87,15.8,1
ac605cbb,0.35714285714285715,0
fafd9572,2.0,1
3eda0437,5.8,1
39e1d7f9,12.5,1
d037b0a7,0.625,0
cdecee7f,0.0,0
9ddd00f0,7.5,1
9b5080bb,11.0,1
3490cc26,0.0,0
88a62173,0.0,0
b1948b0a,2.0,1
9b30e358,5.0,1
dc2e9a9d,18.0,1
82819916,0.3,0
d2abd087,5.0,1
ed74f2f2,2.0714285714285716,1
321b1fc6,2.1666666666666665,1
d492a647,15.666666666666666,1
aee291af,24.375,1
feca6190,0.0,0
ae58858e,1.8,1
880c1354,6.625,1
bf699163,17.333333333333332,1
d282b262,0.0,0
42a50994,1.6,1
7837ac64,17.7,1
4c177718,5.5,1
e8dc4411,4.125,1
c3fa4749,15.8,1
b7955b3c,13.1,1
fbf15a0b,10.583333333333334,1
dc433765,0.0,0
20fb2937,9.833333333333334,1
6430c8c4,1.8,1
e633a9e5,0.0,0
be03b35f,0.0,0
7c9b52a0,2.25,1
f2829549,1.25,1
57edb29d,14.75,1
ecaa0ec1,1.8,1
a68b268e,4.214285714285714,1
66ac4c3b,20.833333333333332,1
aa18de87,1.1,1
1a6449f1,5.25,1
ae4f1146,1.6,1
15696249,1.0,1
3af2c5a8,1.375,1
ea9794b1,4.5,1
1478ab18,5.5,1
a699fb00,0.0,0
d511f180,0.5,0
c074846d,0.6428571428571429,0
d5c634a2,2.2777777777777777,1
6e19193c,0.0,0
54db823b,19.6,1
15660dd6,49.5,1
aa62e3f4,5.166666666666667,1
e4888269,9.0,1
b1986d4b,36.625,1
782b5218,5.375,1
1e32b0e9,11.25,1
4acc7107,4.0,1
817e6c09,0.0,0
17cae0c1,1.5,1
913fb3ed,4.0,1
f28a3cbb,7.333333333333333,1
7e4d4f7c,3.5,1
ac2e8ecf,17.0,1
aab50785,0.25,0
f21745ec,22.875,1
e21d9049,0.0,0
1190bc91,1.125,1
d94c3b52,43.75,1
681b3aeb,2.0,1
c62e2108,9.25,1
780d0b14,25.75,1
f5b8619d,2.75,1
4e7e0eb9,3.5,1
d631b094,0.3,0
62c24649,0.875,0
05a7bcf2,11.625,1
19bb5feb,0.875,0
d89b689b,0.0,0
1b8318e3,0.0,0
332efdb3,4.5,1
e760a62e,11.0,1
b8825c91,19.8,1
494ef9d7,0.0,0
140c817e,8.25,1
2037f2c7,10.375,1
ce22a75a,0.0,0
d017b73f,1.1,1
f8cc533f,22.3,1
9356391f,6.166666666666667,1
6d58a25d,1.75,1
8eb1be9a,3.6666666666666665,1
b20f7c8b,22.625,1
f25fbde4,0.25,0
bd5af378,4.3,1
b548a754,4.125,1
ce4f8723,2.6,1
ed36ccf7,1.0,1
878187ab,8.666666666666666,1
95a58926,23.375,1
239be575,0.375,0
7e0986d6,4.5,1
37d3e8b2,25.25,1
baf41dbf,5.0,1
496994bd,2.0,1
81c0276b,3.625,1
af726779,12.666666666666666,1
e179c5f4,2.25,1
e3f79277,2.3333333333333335,1
2bcee788,1.3,1
c444b776,2.0,1
ba26e723,0.5,0
20981f0e,0.0,0
8d5021e8,0.875,0
2685904e,2.5,1
6cf79266,43.25,1
46f33fce,0.0,0
ccd554ac,4.5,1
3391f8c0,3.0,1
896d5239,18.875,1
794b24be,0.25,0
20818e16,1.625,1
f9012d9b,1.0,1
e5790162,1.6666666666666667,1
e0fb7511,23.25,1
49d1d64f,0.125,0
5ad4f10b,0.375,0
c1d99e64,42.0,1
